word,positive_probability,negative_probability,neutral_probability
found,0.27362915252632236,0.3459773317636314,0.38039351571004615
indeed,0.5559649712250512,0.24783965754992532,0.1961953712250235
...,0.02189970996807747,0.8207021318136845,0.15739815821823813
completely,0.3330450617019944,0.31363396380390196,0.3533209744941037
thanks,0.26295623223647197,0.3966257736615391,0.34041799410198886
yet,0.2777809905406952,0.3752049173455913,0.3470140921137135
perfect,0.3427119052022379,0.22622855107982184,0.43105954371794036
mood,0.23778954202229133,0.5167622032963001,0.24544825468140868
lol,0.0811387877771817,0.6582991188270771,0.2605620933957411
cant,0.8330872717221954,0.04552351342102911,0.12138921485677545
believe,0.32569461435506863,0.3678123314580466,0.3064930541868849
stay,0.26697472921785326,0.305194364332158,0.4278309064499888
late,0.3161271363373653,0.2917649992245725,0.39210786443806206
.....,0.2735176382719969,0.47552495771437214,0.250957404013631
mom,0.6536351743038308,0.1842777577057994,0.16208706799036984
called,0.32872557009366243,0.32657536155565664,0.344699068350681
hes,0.28390246182222934,0.4556118698234163,0.26048566835435444
gone,0.35204572584756855,0.1850192278291208,0.4629350463233107
may,0.2003949804567063,0.5284026156472043,0.27120240389608935
1st,0.30610223457664293,0.396522557208165,0.29737520821519203
best,0.3151474856846682,0.26998003585436364,0.41487247846096814
guy,0.2127883295916602,0.4316011296950544,0.35561054071328535
could,0.21772567185989689,0.49460947248806597,0.2876648556520371
love,0.255386056881668,0.4810024259823256,0.2636115171360064
jay,0.21652092219408425,0.39474609954387974,0.38873297826203607
closed,0.2477381015440321,0.4972376622297994,0.25502423622616843
still,0.6101019507699997,0.16516900157268752,0.22472904765731272
nice,0.23881985725051977,0.3744950380489798,0.38668510470050027
lunch,0.19225782239639008,0.27854203919866155,0.5292001384049484
start,0.19071623193781156,0.451704480366351,0.35757928769583747
think,0.39974227302203474,0.2880069104225159,0.31225081655544945
year,0.3025874492781209,0.31882689082363247,0.37858565989824655
missed,0.6929657145273223,0.10039647844405324,0.20663780702862447
sooo,0.3551433418289723,0.2799041312227164,0.36495252694831126
